subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
39	0	3	38	206	marshes31.jpg	marshes	A	116	174.00896	1	0.579184532165527	151	0	1
39	0	3	39	207	deserts42.jpg	deserts	B	118	177.025669	1	0.696531057357788	391	1	4
39	0	3	40	208	mountains52.jpg	mountains	X	121	181.509009	1	0.537259817123413	66	1	3
39	0	3	41	209	beaches44.jpg	beaches	X	124	186.025565	1	0.567682981491089	442	1	4
39	0	3	42	210	parks20.jpg	parks	X	126	189.025557	1	0.742729663848877	201	0	1
39	0	3	43	211	lakes9.jpg	lakes	X	130	195.0922	1	0.579164505004883	342	1	4
39	0	3	44	212	forests26.jpg	forests	X	134	201.025377	1	0.605904579162598	258	0	4
39	0	3	45	213	marshes10.jpg	marshes	A	138	207.025332	1	0.523048639297485	212	0	1
39	0	3	46	214	deserts9.jpg	deserts	B	141	211.525219	1	0.690110683441162	412	0	1
39	0	3	47	215	mountains2.jpg	mountains	X	144	216.025174	1	0.512186527252197	176	0	1
39	0	3	48	216	lighthouses18.jpg	lighthouses	A	146	219.025119	1	0.93220591545105	68	0	4
39	0	3	49	217	canyons53.jpg	canyons	B	149	223.525044	1	0.558305025100708	89	1	4
39	0	3	50	218	fields41.jpg	fields	X	152	228.024985	1	0.56538200378418	15	1	2
39	0	3	51	219	forests13.jpg	forests	X	155	232.52489	1	0.716473340988159	35	1	1
39	0	3	52	220	parks38.jpg	parks	X	159	238.524841	1	0.691587686538696	76	0	4
39	0	3	53	221	waterfalls32.jpg	waterfalls	A	162	243.024787	1	0.74972677230835	219	0	1
39	0	3	54	222	bridges2.jpg	bridges	B	164	246.02472	1	0.489730834960938	348	0	4
39	0	3	55	223	lakes30.jpg	lakes	X	168	252.024655	1	0.787807703018188	81	0	2
39	0	3	56	224	waterfalls51.jpg	waterfalls	A	171	256.524585	1	0.571887016296387	335	1	4
39	0	3	57	225	bridges17.jpg	bridges	B	173	259.524568	1	0.531909704208374	137	1	1
39	0	3	58	226	beaches32.jpg	beaches	X	176	264.02453	1	0.59199595451355	154	0	4
39	0	3	59	227	lighthouses47.jpg	lighthouses	A	180	270.024396	1	0.62413477897644	87	1	4
39	0	3	60	228	canyons22.jpg	canyons	B	182	273.024366	1	0.700244665145874	359	0	4
39	0	3	61	229	parks47.jpg	parks	X	184	276.024309	1	0.883192777633667	56	0	3
39	0	3	62	230	marshes35.jpg	marshes	A	186	279.024296	1	0.696275949478149	2	0	4
