subid	trial	img	categ	cond	rep	answer	trialdur	acc	rt	resp	group	block	ITI
100	78	waterfalls4.jpg	waterfalls	X	34	no	0.99996	1	0.77137565612793	j	0	5	2
100	79	mountains24.jpg	mountains	B	34	no	0.999851	1	0.727444648742676	j	0	5	5
100	80	marshes5.jpg	marshes	X	34	no	0.999917	1	0.711550235748291	j	0	5	5
100	81	forests51.jpg	forests	A	34	no	0.999925	1	0.857651710510254	j	0	5	3.5
100	82	deserts19.jpg	deserts	X	34	no	0.999881	1	0.696727991104126	j	0	5	3.5
100	83	lakes2.jpg	lakes	X	34	yes	0.999921	1	0.956791162490845	k	0	5	2
101	0	parks26.jpg	parks	A	0	yes	1.000291	1	1.27318167686462	k	1	1	5
101	1	marshes4.jpg	marshes	B	0	no	0.999937	1	0.496185779571533	j	1	1	5
101	2	bridges48.jpg	bridges	X	0	yes	0.999835	1	0.714092493057251	k	1	1	3.5
101	3	fields25.jpg	fields	X	0	yes	1.000032	0	0.509029388427734	j	1	1	2
101	4	lighthouses28.jpg	lighthouses	X	0	yes	1.000116	1	0.698072195053101	k	1	1	2
101	5	canyons8.jpg	canyons	X	0	no	0.999928	1	0.626133680343628	j	1	1	3.5
101	6	lighthouses53.jpg	lighthouses	X	1	yes	1.000026	1	0.591212749481201	k	1	1	2
101	7	beaches27.jpg	beaches	A	0	yes	0.999998	1	0.609319686889648	k	1	1	5
101	8	waterfalls48.jpg	waterfalls	X	0	no	1	1	0.737473964691162	j	1	1	2
101	9	parks22.jpg	parks	A	1	yes	0.999981	1	0.760448455810547	k	1	1	3.5
101	10	mountains45.jpg	mountains	B	0	no	0.999964	1	0.460547685623169	j	1	1	2
101	11	deserts18.jpg	deserts	B	0	no	0.999999	1	0.602588653564453	j	1	1	2
101	12	waterfalls1.jpg	waterfalls	X	1	no	0.999985	1	0.4836266040802	j	1	1	5
101	13	lakes46.jpg	lakes	X	0	yes	1.000006	0	0.736749649047852	j	1	1	2
101	14	parks28.jpg	parks	A	2	yes	1.000078	0	0.682765007019043	j	1	1	3.5
101	15	forests8.jpg	forests	A	0	no	0.999865	1	0.777812957763672	j	1	1	2
101	16	lighthouses35.jpg	lighthouses	X	2	yes	1.000004	1	0.663869619369507	k	1	1	5
101	17	bridges52.jpg	bridges	X	1	yes	0.999895	1	0.848021984100342	k	1	1	2
