subID	trial	probed	truepair	foilpair	sideorder	cond	rt	resp	acc	left	right	group
55	3	lakes	canyons	marshes	1	B	4.1249737739563	f	0	marshes	canyons	1
55	4	mountains	parks	canyons	1	B	2.31624603271484	f	0	canyons	parks	1
55	5	marshes	forests	lakes	1	A	2.82149004936218	f	0	lakes	forests	1
55	6	canyons	lakes	mountains	0	A	2.44245505332947	j	0	lakes	mountains	1
55	7	forests	marshes	parks	0	B	2.11318922042847	j	0	marshes	parks	1
55	8	mountains	parks	canyons	0	B	0.000761032104492188	f	1	parks	canyons	1
55	9	lakes	canyons	marshes	1	B	2.07742094993591	f	0	marshes	canyons	1
55	10	parks	mountains	forests	0	A	2.24150586128235	j	0	mountains	forests	1
55	11	marshes	forests	lakes	1	A	1.87502598762512	j	1	lakes	forests	1
56	0	forests	mountains	beaches	0	A	2.4685595035553	f	1	mountains	beaches	0
56	1	beaches	bridges	forests	0	B	3.29201650619507	f	1	bridges	forests	0
56	2	bridges	beaches	fields	1	A	-1.04126644134521	f	0	fields	beaches	0
56	3	marshes	fields	mountains	0	A	2.32285976409912	j	0	fields	mountains	0
56	4	fields	marshes	bridges	0	B	-1.04377818107605	j	0	marshes	bridges	0
56	5	mountains	forests	marshes	1	B	2.20135879516602	j	1	marshes	forests	0
56	6	beaches	bridges	forests	1	B	-1.03193521499634	j	1	forests	bridges	0
56	7	marshes	fields	mountains	1	A	1.3029317855835	f	0	mountains	fields	0
56	8	fields	marshes	bridges	0	B	3.57851386070251	j	0	marshes	bridges	0
56	9	bridges	beaches	fields	0	A	2.80962681770325	j	0	beaches	fields	0
56	10	forests	mountains	beaches	1	A	1.8142786026001	j	1	beaches	mountains	0
56	11	mountains	forests	marshes	1	B	2.03043246269226	j	1	marshes	forests	0
57	0	marshes	canyons	forests	0	B	NaN	MISSING	NaN	canyons	forests	0
57	1	beaches	parks	canyons	1	B	2.98976302146912	f	0	canyons	parks	0
57	2	parks	beaches	mountains	1	A	4.18521928787231	j	1	mountains	beaches	0
57	3	mountains	forests	parks	0	B	2.79302620887756	f	1	forests	parks	0
57	4	forests	mountains	marshes	1	A	1.9156551361084	f	0	marshes	mountains	0
57	5	canyons	marshes	beaches	0	A	2.71999192237854	j	0	marshes	beaches	0
57	6	beaches	parks	canyons	0	B	2.37106132507324	f	1	parks	canyons	0
57	7	parks	beaches	mountains	1	A	2.50639796257019	j	1	mountains	beaches	0
57	8	canyons	marshes	beaches	1	A	2.21531748771667	f	0	beaches	marshes	0
57	9	marshes	canyons	forests	1	B	1.18320369720459	f	0	forests	canyons	0
57	10	mountains	forests	parks	0	B	1.08993768692017	f	1	forests	parks	0
57	11	forests	mountains	marshes	0	A	1.07229614257812	j	0	mountains	marshes	0
58	0	beaches	lakes	canyons	1	A	2.68507671356201	f	0	canyons	lakes	1
58	1	canyons	forests	beaches	0	B	2.68341255187988	j	0	forests	beaches	1
58	2	lakes	beaches	lighthouses	0	B	2.70520830154419	j	0	beaches	lighthouses	1
58	3	lighthouses	waterfalls	lakes	1	A	2.57323384284973	f	0	lakes	waterfalls	1
58	4	forests	canyons	waterfalls	1	A	2.27376580238342	f	0	waterfalls	canyons	1
58	5	waterfalls	lighthouses	forests	0	B	2.19997072219849	f	1	lighthouses	forests	1
58	6	waterfalls	lighthouses	forests	0	B	2.30175137519836	f	1	lighthouses	forests	1
58	7	beaches	lakes	canyons	0	A	3.68441438674927	f	1	lakes	canyons	1
58	8	forests	canyons	waterfalls	1	A	3.26193189620972	f	0	waterfalls	canyons	1
58	9	lakes	beaches	lighthouses	1	B	3.62564969062805	f	0	lighthouses	beaches	1
58	10	canyons	forests	beaches	0	B	2.1767156124115	j	0	forests	beaches	1
58	11	lighthouses	waterfalls	lakes	1	A	-1.03989839553833	j	1	lakes	waterfalls	1
59	0	marshes	beaches	lighthouses	0	B	4.69874119758606	f	1	beaches	lighthouses	1
59	1	beaches	marshes	forests	0	A	4.71172070503235	f	1	marshes	forests	1
59	2	mountains	forests	waterfalls	0	A	3.88994193077087	f	1	forests	waterfalls	1
59	3	lighthouses	waterfalls	marshes	1	A	3.86362290382385	j	1	marshes	waterfalls	1
59	4	forests	mountains	beaches	1	B	2.64385986328125	j	1	beaches	mountains	1
59	5	waterfalls	lighthouses	mountains	0	B	3.38113689422607	j	0	lighthouses	mountains	1
59	6	waterfalls	lighthouses	mountains	1	B	-1.03535223007202	j	1	mountains	lighthouses	1
59	7	beaches	marshes	forests	1	A	2.4033842086792	j	1	forests	marshes	1
59	8	marshes	beaches	lighthouses	1	B	2.11247897148132	f	0	lighthouses	beaches	1
59	9	lighthouses	waterfalls	marshes	0	A	2.69445562362671	j	0	waterfalls	marshes	1
